"Allan Percival",,,,
"Andy Canning",,,,
"Cambreth John Kane",,,,
"Claudia Sorin",,,,
"Colin Grant Cameron",,,,
"D Cash",,,,
"Dave Roberts",,,,
"David Glossop",,,,
"Edward Morello","Q75839059","2019 United Kingdom general election","West Dorset","Liberal Democrats"
"F Donald Shirreff",,,,
"G McEwan",,,,
"George Edwin Chappell",,,,
"George Sakwa",,,,
"George Wood Homer",,,,
"HJ Skevington",,,,
"Herbert Carey George Batten",,,,
"J Tillotson",,,,
"JPB Mann",,,,
"John H. Goodden",,,,
"John Watson",,,,
"Johnstone J Haye",,,,
"Justine McGuinness",,,,
"Kelvin Clayton",,,,
"Lee Rhodes",,,,
"Leslie William King",,,,
"Linda Guest",,,,
"MF Cross",,,,
"Mark Griffiths",,,,
"Michael Aza Pinney",,,,
"Oliver Chisholm",,,,
"P. Jenkins",,,,
"PJ Dawe",,,,
"Peter Barton",,,,
"R Angus",,,,
"RM Angus",,,,
"Rachel Rogers",,,,
"Richard Hyde",,,,
"Robert Bygraves",,,,
"Robin A.S. Legg",,,,
"Robin AS Legg",,,,
"Ros Kayes",,,,
"Simon Green",,,,
"Steve Bick",,,,
"Sue Farrant",,,,
"Susan Greene",,,,
"T C Duke",,,,
"Thomas Robins",,,,
"Trevor Jones","Q63408360","2019 Australian federal election","Boothby",
"Trevor Jones","Q63408360","2019 Boothby federal election","Boothby",
"Trevor Jones","Q76736940","2019 United Kingdom general election","Bolton North East","Brexit Party"
"William Saunders Edwards",,,,
