foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q76364033,Chris Loder,Q9626,Conservative Party (UK),33589,Q30173038,General election 2019,1
Q75839059,,Edward Morello,Q9624,Liberal Democrats (UK),19483,Q30173038,General election 2019,2
,,Claudia Sorin,Q9630,Labour Party (UK),5729,Q30173038,General election 2019,3
,,Kelvin Clayton,Q9669,Green Party of England and Wales,2124,Q30173038,General election 2019,4
,Q333480,Oliver Letwin,Q9626,Conservative Party (UK),33081,Q25052149,General election 2017,1
,,Andy Canning,Q9624,Liberal Democrats (UK),13990,Q25052149,General election 2017,2
,,Lee Rhodes,Q9630,Labour Party (UK),10896,Q25052149,General election 2017,3
,,Kelvin Clayton,Q9669,Green Party of England and Wales,1631,Q25052149,General election 2017,4
,Q333480,Oliver Letwin,Q9626,Conservative Party (UK),28329,Q3586935,General election 2015,1
,,Ros Kayes,Q9624,Liberal Democrats (UK),12199,Q3586935,General election 2015,2
,,David Glossop,Q10647,UK Independence Party,7055,Q3586935,General election 2015,3
,,Rachel Rogers,Q9630,Labour Party (UK),5633,Q3586935,General election 2015,4
,,Peter Barton,Q9669,Green Party of England and Wales,3242,Q3586935,General election 2015,5
,Q333480,Oliver Letwin,Q9626,Conservative Party (UK),27287,Q215622,General election 2010,1
,,Sue Farrant,Q9624,Liberal Democrats (UK),23364,Q215622,General election 2010,2
,,Steve Bick,Q9630,Labour Party (UK),3815,Q215622,General election 2010,3
,,Oliver Chisholm,Q10647,UK Independence Party,2196,Q215622,General election 2010,4
,,Susan Greene,Q9669,Green Party of England and Wales,675,Q215622,General election 2010,5
,Q333480,Oliver Letwin,Q9626,Conservative Party (UK),24763,Q428598,General election 2005,1
,,Justine McGuinness,Q9624,Liberal Democrats (UK),22302,Q428598,General election 2005,2
,,Dave Roberts,Q9630,Labour Party (UK),4124,Q428598,General election 2005,3
,,Linda Guest,Q10647,UK Independence Party,1084,Q428598,General election 2005,4
,,Susan Greene,Q9669,Green Party of England and Wales,952,Q428598,General election 2005,5
,Q333480,Oliver Letwin,Q9626,Conservative Party (UK),22126,Q590740,General election 2001,1
,,Simon Green,Q9624,Liberal Democrats (UK),20712,Q590740,General election 2001,2
,,Richard Hyde,Q9630,Labour Party (UK),6733,Q590740,General election 2001,3
,Q333480,Oliver Letwin,Q9626,Conservative Party (UK),22036,Q918503,General election 1997,1
,,Robin AS Legg,Q9624,Liberal Democrats (UK),20196,Q918503,General election 1997,2
,,Robert Bygraves,Q9630,Labour Party (UK),9491,Q918503,General election 1997,3
,,P. Jenkins,Q10647,United Kingdom Independence Party,1590,Q918503,General election 1997,4
